0,1,2,simulation_request_id,dynamicMinScoreConfigVersion,dynamicMinScoreConfigId,blockConstraintConfigId,blockConstraintConfigVersion,"deviceType=mobile_app,pageSuffix=pageOne,KPI=eRevenueDebiasedLift","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=avgECtrDebiasedLift","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=avgPIrrel","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=impressionsLift"
0.0296875,0.0043125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,28,1,0,-0.19456995330245808,0.30131685780224005,0.13245536455468146,-0.6902134117046761
0.0284375,0.0015625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,21,1,0,-0.19558687405506456,0.22648085565228704,0.13188990503492642,-0.6923968973960525
0.0365625,0.0029375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,35,1,0,-0.1949562689503801,0.23264877380135876,0.13245536455468146,-0.6902134117046761
0.02046875,0.00259375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,49,1,0,-0.1944568169082012,0.2997354471723146,0.1324553645546815,-0.6902134117046761
0.021875,0.002875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,1,1,0,-0.1944942339214002,0.29995829370825633,0.13245536455468146,-0.6902134117046761
0.0290625,0.0024375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,37,1,0,-0.1944650954013428,0.2561361159653939,0.1324553645546815,-0.6902134117046761
0.0271875,0.0028125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,29,1,0,-0.19414810943088712,0.2820558054489528,0.13245536455468146,-0.6902134117046761
0.0253125,0.0011875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,45,1,0,-0.19722525176133252,0.3625281533528213,0.11913326169036625,-0.7315770465622525
0.0334375,0.0025625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,23,1,0,-0.19491117977396755,0.23718504325300585,0.13245536455468146,-0.6902134117046761
0.0203125,0.0041875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,48,1,0,-0.1946420593980264,0.3075362195582767,0.1324553645546814,-0.6902134117046761
0.025625,0.002125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,13,1,0,-0.19439711871171386,0.2631442157625441,0.13245536455468146,-0.6902134117046761
0.0353125,0.0031875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,46,1,0,-0.19436062775331486,0.2521307778892907,0.1324553645546815,-0.6902134117046761
0.024375,0.004375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,8,1,0,-0.19464205939802728,0.3075362195582767,0.13245536455468146,-0.6902134117046761
0.0309375,0.0040625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,18,1,0,-0.1944972673216213,0.29410432240900386,0.1324553645546815,-0.6902134117046761
0.0228125,0.0026875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,41,1,0,-0.19432255421108655,0.29507219375833604,0.1324553645546815,-0.6902134117046761
0.0209375,0.0020625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,17,1,0,-0.19418121319961207,0.28763337126238553,0.1324553645546814,-0.6902134117046761
0.0378125,0.0016875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,43,1,0,-0.2029557593947927,0.4354463513906446,0.10676666503621303,-0.7718737885630411
0.038125,0.002625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,11,1,0,-0.1953708131756884,0.2160407190414091,0.13245536455468152,-0.6902134117046761
0.030625,0.001125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,15,1,0,-0.20662856266014729,0.5698516632418591,0.0978764174713429,-0.8013823220492295
0.0396875,0.0023125000000000003,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,27,1,0,-0.19638953772034493,0.1894916561145528,0.13245536455468146,-0.6902134117046761
0.0259375,0.0030625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,20,1,0,-0.19430456551878506,0.2925201052070323,0.1324553645546815,-0.6902134117046761
0.0384375,0.0035625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,22,1,0,-0.19430993948617706,0.2509189033241852,0.13245536455468146,-0.6902134117046761
0.029375,0.001375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,5,1,0,-0.1983523135511233,0.37084016452957824,0.11673233263653325,-0.7398703161912588
0.0340625,0.0014375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,39,1,0,-0.2035915996118852,0.4797505678498026,0.1042727836125536,-0.7800444649134723
